e,r,t
242,-1909.3022595049965,1.6225762367248535
243,-388.3041709221359,1.4207994937896729
244,-969.2377406765241,1.4022717475891113
245,-755.5952098881668,1.3304681777954102
246,-1177.6590345618017,1.3997271060943604
247,-1051.3956016409934,1.380793809890747
248,-925.0787971568376,1.4565341472625732
249,-1135.909567781665,1.4039151668548584
250,-840.9686722927081,1.4709515571594238
251,-584.9837361385845,1.385108470916748
252,-798.4553873230536,1.5756990909576416
253,-554.1036501129371,1.549804449081421
254,-376.3562532600824,1.3778712749481201
255,-807.8664504202558,1.3679547309875488
256,-1523.119895354026,1.5765087604522705
257,-1098.436118259798,1.4999361038208008
258,-696.7880450751563,1.5053863525390625
259,-517.0153652960619,1.455073356628418
260,-1004.1230530340479,1.518692970275879
261,-974.985331113063,1.3917720317840576
262,-482.13377053189873,1.359325647354126
263,-1156.2158089350562,1.3764619827270508
264,-1347.205001275647,1.3734920024871826
265,-691.8185579818414,1.3799912929534912
266,-525.9904628733522,1.2871441841125488
267,-338.60611015031856,1.3859164714813232
268,-1760.4965881066569,1.509697675704956
269,-941.0089698705485,1.5335240364074707
270,-735.2227370930125,1.2491207122802734
271,-1182.0312276074687,1.4595532417297363
272,-919.7482709001993,1.462526559829712
273,-767.8450989490924,1.4262394905090332
274,-1038.8411942696143,1.3616578578948975
275,-394.75704408764403,1.5340588092803955
276,-658.5504570052121,1.2613186836242676
277,-861.5966274424942,1.516709566116333
278,-730.2113961598641,1.3114242553710938
279,-736.3147500642452,1.4327518939971924
280,-776.5197959312807,1.4459490776062012
281,-1623.358329348507,1.4420042037963867
282,-669.2456210004118,1.4154675006866455
283,-1208.0745248155347,1.574120044708252
284,-1797.2121502539678,1.526853322982788
285,-1283.459428586373,1.4764726161956787
286,-866.5041354687303,1.3772974014282227
287,-1681.1010500904176,1.5896682739257812
288,-757.28259011559,1.462188482284546
289,-1241.828218577199,1.5738062858581543
290,-651.9930537425611,1.3841936588287354
291,-1099.1392906356316,1.570336103439331
292,-1006.4367845383205,1.5370445251464844
293,-559.6531333508201,1.566695213317871
294,-2171.626358777667,1.4899389743804932
295,-1497.1387416349085,1.565476417541504
296,-816.2465366954934,1.5158400535583496
297,-859.4861528493302,1.3704190254211426
298,-795.9691302998485,1.5474603176116943
299,-965.3714965423526,1.5017955303192139
300,-1385.8132018655729,1.5884826183319092
301,-1020.6548322631821,1.476442575454712
302,-1558.8278260930729,1.600745439529419
303,-1419.5519735446856,1.460204839706421
304,-799.9381820606411,1.3167345523834229
305,-756.5874489569394,1.4146091938018799
306,-1427.1884788450163,1.4397480487823486
307,-1073.5021873943258,1.608001708984375
308,-712.0856165286481,1.3893911838531494
309,-1100.4926960525893,1.5748538970947266
310,-371.78710782189876,1.4375131130218506
311,-606.5369486370407,1.3923444747924805
312,-1729.6043308792075,1.4995322227478027
313,-1856.2817926888608,1.4313502311706543
314,-770.2820361490578,1.4090254306793213
315,-854.9247556587933,1.4120073318481445
316,-1369.7486926962474,1.4713571071624756
317,-247.66762332902488,1.4811756610870361
318,-1901.3858259911374,1.5634541511535645
319,-1279.4835384240985,1.5295867919921875
320,-772.1875633914021,1.464418649673462
321,-1471.8262942852691,1.6317148208618164
322,-1267.8916096448788,1.499678134918213
323,-689.061246387894,1.419229507446289
324,-703.6813644987487,1.3327279090881348
325,-670.6870262806157,1.484541893005371
326,-1954.2441373506458,1.5339250564575195
327,-271.4423398882321,1.2757749557495117
328,-1211.7650008403664,1.5762388706207275
329,-886.7456850120152,1.3743741512298584
330,-308.96981097261715,1.2727038860321045
331,-964.1305055300459,1.4421546459197998
332,-554.9748584689253,1.3774514198303223
333,-986.318266102353,1.5756921768188477
334,-1837.2246952633604,1.552320957183838
